2	3.08	87.1476
2	3.09	94.2671
2	3.32	94.0900
1	2.64	78.4733
2	2.83	94.5900
1	2.56	79.4400
2	3.82	77.2700
1	2.35	74.9000
2	2.78	95.0000
2	2.97	87.4900
2	3.49	88.1900
1	2.05	79.2363
1	2.27	94.9103
2	2.89	83.6100
2	3.11	79.8590
2	3.09	96.2200
2	3.40	89.0400
1	3.02	74.4600
2	3.14	88.3000
2	2.87	90.9800
1	2.44	71.4600
2	3.32	91.0500
2	2.82	79.0957
2	3.12	85.7800
1	3.14	78.0000
1	2.87	84.2600
2	3.45	81.9300
1	2.36	75.3497
2	2.63	83.3200
2	3.38	81.0000
1	2.21	85.9000
2	2.99	81.4000
1	2.71	79.7812
2	2.96	91.6708
1	2.35	80.9400
1	3.60	75.0000
2	3.47	86.8942
2	3.56	78.8900
2	3.31	91.0983
1	3.55	81.7892
1	2.43	71.5199
2	3.37	92.8930
2	3.02	87.9200
2	2.61	80.9028
2	3.29	81.2300
2	3.92	77.5000
2	3.38	84.0942
2	2.68	82.5000
2	3.40	90.0000
1	2.97	85.5400
2	3.26	81.6300
2	2.96	84.1540
2	2.80	89.0000
2	3.55	89.9461
2	2.81	82.1200
2	3.49	81.4000
1	2.06	89.6910
2	2.84	81.3757
2	3.10	84.7000
2	3.04	83.6100
2	3.20	87.8600
2	3.32	93.7000
1	2.89	84.0900
2	2.93	82.3300
2	2.53	88.7300
1	2.84	76.2280
1	2.68	79.7800
1	2.31	78.0400
1	2.37	89.9400
1	2.89	74.0000
2	3.52	79.7484
1	3.14	77.4800
2	2.57	95.0000
		
